journal_id,journal_name,journal_name_normalized,title_variants,publisher,wos_core,is_wos_core,is_scopus,norwegian_level,norwegian_level_numeric,alphabet_block,include_in_monitor,openalex_source_id,issn_l,issn_print,issn_online,source_resolution_status,source_confidence,openalex_source_search_hint,notes,verification_source_urls
aana-journal,AANA Journal,aana journal,AANA Journal | Journal of the American Association of Nurse Anesthetists,AANA Publishing,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=AANA%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aacn-advanced-critical-care,AACN Advanced Critical Care,aacn advanced critical care,AACN Advanced Critical Care,American Association of Critical-Care Nurses,ESCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=AACN%20Advanced%20Critical%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
acta-paulista-de-enfermagem,Acta Paulista de Enfermagem,acta paulista de enfermagem,Acta Paulista de Enfermagem,"Universidade Federal de São Paulo, Department of Nursing",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Acta%20Paulista%20de%20Enfermagem&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
advanced-emergency-nursing-journal,Advanced Emergency Nursing Journal,advanced emergency nursing journal,Advanced Emergency Nursing Journal,"Wolters Kluwer, Lippincott Williams & Wilkins",ESCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Advanced%20Emergency%20Nursing%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
advances-in-neonatal-care,Advances in Neonatal Care,advances in neonatal care,Advances in Neonatal Care,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Advances%20in%20Neonatal%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
advances-in-nursing-science,Advances in Nursing Science,advances in nursing science,Advances in Nursing Science,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 2,2,A-C,true,,,,,unresolved,,/sources?search=Advances%20in%20Nursing%20Science&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
advances-in-skin-and-wound-care,Advances in Skin & Wound Care,advances in skin and wound care,Advances in Skin & Wound Care,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Advances%20in%20Skin%20%26%20Wound%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
advances-in-wound-care,Advances in Wound Care,advances in wound care,Advances in Wound Care,Mary Ann Liebert / SAGE,SCIE,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Advances%20in%20Wound%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
african-journal-of-nursing-and-midwifery,African Journal of Nursing and Midwifery,african journal of nursing and midwifery,African Journal of Nursing and Midwifery,UNISA Press,ESCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=African%20Journal%20of%20Nursing%20and%20Midwifery&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aide-soignante,Aide Soignante,aide soignante,Aide Soignante,Elsevier Masson,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Aide%20Soignante&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
