journal_id,journal_name,publisher,status,confidence,warning,best_candidate,best_candidate_confidence,best_candidate_id,openalex_search_hint
aana-journal,AANA Journal,AANA Publishing,unresolved,0,"OpenAlex search errors: AANA Journal: OpenAlex 429 Too Many Requests: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":39472,""costUsd"":0.001,""dailyRemainingUsd"":0,""prepaidRemainingUsd"":0,""creditsRequired"":10 | Journal of the American Association of Nurse Anesthetists: OpenAlex 429 Too Many Requests: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":39472,""costUsd"":0.001,""dailyRemainingUsd"":0,""prepaidRemainingUsd"":0,""creditsRequired"":10",,,,/sources?search=AANA%20Journal&filter=type:journal&per-page=5
aacn-advanced-critical-care,AACN Advanced Critical Care,American Association of Critical-Care Nurses,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AACN%20Advanced%20Critical%20Care&filter=type:journal&per-page=5
acta-paulista-de-enfermagem,Acta Paulista de Enfermagem,"Universidade Federal de São Paulo, Department of Nursing",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Acta%20Paulista%20de%20Enfermagem&filter=type:journal&per-page=5
advanced-emergency-nursing-journal,Advanced Emergency Nursing Journal,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Advanced%20Emergency%20Nursing%20Journal&filter=type:journal&per-page=5
advances-in-neonatal-care,Advances in Neonatal Care,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Advances%20in%20Neonatal%20Care&filter=type:journal&per-page=5
advances-in-nursing-science,Advances in Nursing Science,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Advances%20in%20Nursing%20Science&filter=type:journal&per-page=5
advances-in-skin-and-wound-care,Advances in Skin & Wound Care,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Advances%20in%20Skin%20%26%20Wound%20Care&filter=type:journal&per-page=5
advances-in-wound-care,Advances in Wound Care,Mary Ann Liebert / SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Advances%20in%20Wound%20Care&filter=type:journal&per-page=5
african-journal-of-nursing-and-midwifery,African Journal of Nursing and Midwifery,UNISA Press,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=African%20Journal%20of%20Nursing%20and%20Midwifery&filter=type:journal&per-page=5
aide-soignante,Aide Soignante,Elsevier Masson,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Aide%20Soignante&filter=type:journal&per-page=5
aids-patient-care-and-stds,AIDS Patient Care and STDs,Mary Ann Liebert,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AIDS%20Patient%20Care%20and%20STDs&filter=type:journal&per-page=5
aims-journal,AIMS Journal,Association for Improvements in Maternity Services,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AIMS%20Journal&filter=type:journal&per-page=5
aims-public-health,AIMS Public Health,American Institute of Mathematical Sciences,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AIMS%20Public%20Health&filter=type:journal&per-page=5
ajog-global-reports,AJOG Global Reports,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AJOG%20Global%20Reports&filter=type:journal&per-page=5
american-journal-of-critical-care,American Journal of Critical Care,American Association of Critical-Care Nurses,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=American%20Journal%20of%20Critical%20Care&filter=type:journal&per-page=5
american-journal-of-nursing,American Journal of Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=American%20Journal%20of%20Nursing&filter=type:journal&per-page=5
anna-nery-school-journal-of-nursing,Anna Nery School Journal of Nursing,Universidade Federal do Rio de Janeiro,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Anna%20Nery%20School%20Journal%20of%20Nursing&filter=type:journal&per-page=5
annals-of-nursing-and-practice,Annals of Nursing and Practice,JSciMed Central,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Annals%20of%20Nursing%20and%20Practice&filter=type:journal&per-page=5
aorn-journal,AORN Journal,Wiley,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=AORN%20Journal&filter=type:journal&per-page=5
applied-nursing-research,Applied Nursing Research,"Elsevier, W.B. Saunders",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Applied%20Nursing%20Research&filter=type:journal&per-page=5
aquichan,Aquichan,Universidad de La Sabana,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Aquichan&filter=type:journal&per-page=5
archives-of-psychiatric-nursing,Archives of Psychiatric Nursing,"Elsevier, W.B. Saunders",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Archives%20of%20Psychiatric%20Nursing&filter=type:journal&per-page=5
asia-pacific-journal-of-oncology-nursing,Asia-Pacific Journal of Oncology Nursing,Asian Oncology Nursing Society / Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Asia-Pacific%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5
asian-nursing-research,Asian Nursing Research,Korean Society of Nursing Science,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Asian%20Nursing%20Research&filter=type:journal&per-page=5
asian-pacific-island-nursing-journal,Asian/Pacific Island Nursing Journal,JMIR Publications,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Asian/Pacific%20Island%20Nursing%20Journal&filter=type:journal&per-page=5
assistenza-infermieristica-e-ricerca,Assistenza Infermieristica e Ricerca,Il Pensiero Scientifico Editore,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Assistenza%20Infermieristica%20e%20Ricerca&filter=type:journal&per-page=5
australasian-emergency-care,Australasian Emergency Care,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Australasian%20Emergency%20Care&filter=type:journal&per-page=5
australian-critical-care,Australian Critical Care,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Australian%20Critical%20Care&filter=type:journal&per-page=5
australian-journal-of-advanced-nursing,Australian Journal of Advanced Nursing,Australian Nursing and Midwifery Federation,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Australian%20Journal%20of%20Advanced%20Nursing&filter=type:journal&per-page=5
avicenna-journal-of-nursing-and-midwifery-care,Avicenna Journal of Nursing and Midwifery Care,Hamadan University of Medical Sciences,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Avicenna%20Journal%20of%20Nursing%20and%20Midwifery%20Care&filter=type:journal&per-page=5
belitung-nursing-journal,Belitung Nursing Journal,Belitung Raya Foundation,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Belitung%20Nursing%20Journal&filter=type:journal&per-page=5
biological-research-for-nursing,Biological Research for Nursing,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Biological%20Research%20for%20Nursing&filter=type:journal&per-page=5
birth-issues-in-perinatal-care,Birth: Issues in Perinatal Care,Wiley,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Birth%3A%20Issues%20in%20Perinatal%20Care&filter=type:journal&per-page=5
bmc-nursing,BMC Nursing,BMC / Springer Nature,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=BMC%20Nursing&filter=type:journal&per-page=5
bmc-palliative-care,BMC Palliative Care,BMC / Springer Nature,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=BMC%20Palliative%20Care&filter=type:journal&per-page=5
bmj-supportive-and-palliative-care,BMJ Supportive & Palliative Care,BMJ Publishing Group,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=BMJ%20Supportive%20%26%20Palliative%20Care&filter=type:journal&per-page=5
breastfeeding-medicine,Breastfeeding Medicine,Mary Ann Liebert / SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Breastfeeding%20Medicine&filter=type:journal&per-page=5
breastfeeding-review,Breastfeeding Review,Australian Breastfeeding Association,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Breastfeeding%20Review&filter=type:journal&per-page=5
british-journal-of-child-health,British Journal of Child Health,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Child%20Health&filter=type:journal&per-page=5
british-journal-of-community-nursing,British Journal of Community Nursing,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Community%20Nursing&filter=type:journal&per-page=5
british-journal-of-healthcare-management,British Journal of Healthcare Management,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Healthcare%20Management&filter=type:journal&per-page=5
british-journal-of-mental-health-nursing,British Journal of Mental Health Nursing,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Mental%20Health%20Nursing&filter=type:journal&per-page=5
british-journal-of-midwifery,British Journal of Midwifery,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Midwifery&filter=type:journal&per-page=5
british-journal-of-nursing,British Journal of Nursing,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20Nursing&filter=type:journal&per-page=5
